dataset,donor,disease,tissue,subtype,n_cells,n_secretory_candidates,median_ig_fraction,n_classified_secretory,proportion_of_candidates,proportion_of_classified,proportion
GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Goblet,1,124,0.0,124,0.008064516129032258,0.008064516129032258,0.008064516129032258
GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Inflammatory_secretory,26,124,3.4390716615749835e-05,124,0.20967741935483872,0.20967741935483872,0.20967741935483872
GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Mucous_glandular,1,124,0.0,124,0.008064516129032258,0.008064516129032258,0.008064516129032258
GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Serous_glandular,68,124,0.0,124,0.5483870967741935,0.5483870967741935,0.5483870967741935
GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Surface_club,0,124,,124,0.0,0.0,0.0
GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Transitional_secretory,25,124,0.0,124,0.20161290322580644,0.20161290322580644,0.20161290322580644
GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Ambiguous_secretory,20,459,6.800012220834473e-05,459,0.04357298474945534,0.04357298474945534,0.04357298474945534
GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Goblet,2,459,0.0006556036556036556,459,0.004357298474945534,0.004357298474945534,0.004357298474945534
GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Inflammatory_secretory,5,459,0.00022644927536231884,459,0.010893246187363835,0.010893246187363835,0.010893246187363835
GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Mucous_glandular,1,459,6.222000995520159e-05,459,0.002178649237472767,0.002178649237472767,0.002178649237472767
GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Serous_glandular,378,459,0.00011076960226409128,459,0.8235294117647058,0.8235294117647058,0.8235294117647058
GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Surface_club,1,459,0.0005819028222286878,459,0.002178649237472767,0.002178649237472767,0.002178649237472767
GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Transitional_secretory,52,459,9.855228492631281e-05,459,0.11328976034858387,0.11328976034858387,0.11328976034858387
GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Ambiguous_secretory,61,934,0.0,934,0.06531049250535331,0.06531049250535331,0.06531049250535331
GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Goblet,2,934,0.0,934,0.0021413276231263384,0.0021413276231263384,0.0021413276231263384
GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Inflammatory_secretory,178,934,0.0,934,0.1905781584582441,0.1905781584582441,0.1905781584582441
GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Mucous_glandular,10,934,0.0,934,0.010706638115631691,0.010706638115631691,0.010706638115631691
GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Serous_glandular,490,934,0.0,934,0.5246252676659529,0.5246252676659529,0.5246252676659529
GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Surface_club,4,934,0.0,934,0.004282655246252677,0.004282655246252677,0.004282655246252677
GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Transitional_secretory,189,934,0.0,934,0.20235546038543897,0.20235546038543897,0.20235546038543897
GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Ambiguous_secretory,153,3671,0.0,3671,0.041678016889131024,0.041678016889131024,0.041678016889131024
GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Goblet,8,3671,0.0,3671,0.002179242713157178,0.002179242713157178,0.002179242713157178
GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Inflammatory_secretory,409,3671,0.0,3671,0.11141378371016072,0.11141378371016072,0.11141378371016072
