dataset,sample,donor,disease,tissue,subtype,n_cells,n_secretory_candidates,candidate_fraction,median_ig_fraction
GSE235711,GSM7508299_CRSwNP_Eth_1,CRSwNP_1,CRSwNP,Ethmoid,Ambiguous_secretory,2,128,0.015625,0.0
GSE235711,GSM7508300_CRSwNP_Eth_2,CRSwNP_2,CRSwNP,Ethmoid,Surface_club,0,124,0.0,
GSE235711,GSM7508300_CRSwNP_Eth_2,CRSwNP_2,CRSwNP,Ethmoid,Serous_glandular,68,124,0.5483870967741935,0.0
GSE235711,GSM7508300_CRSwNP_Eth_2,CRSwNP_2,CRSwNP,Ethmoid,Mucous_glandular,1,124,0.008064516129032258,0.0
GSE235711,GSM7508300_CRSwNP_Eth_2,CRSwNP_2,CRSwNP,Ethmoid,Goblet,1,124,0.008064516129032258,0.0
GSE235711,GSM7508300_CRSwNP_Eth_2,CRSwNP_2,CRSwNP,Ethmoid,Inflammatory_secretory,26,124,0.20967741935483872,3.4390716615749835e-05
GSE235711,GSM7508300_CRSwNP_Eth_2,CRSwNP_2,CRSwNP,Ethmoid,Transitional_secretory,25,124,0.20161290322580644,0.0
GSE235711,GSM7508300_CRSwNP_Eth_2,CRSwNP_2,CRSwNP,Ethmoid,Ambiguous_secretory,3,124,0.024193548387096774,0.0
GSE235711,GSM7508301_CRSwNP_Eth_3,CRSwNP_3,CRSwNP,Ethmoid,Surface_club,4,934,0.004282655246252677,0.0
GSE235711,GSM7508301_CRSwNP_Eth_3,CRSwNP_3,CRSwNP,Ethmoid,Serous_glandular,490,934,0.5246252676659529,0.0
GSE235711,GSM7508301_CRSwNP_Eth_3,CRSwNP_3,CRSwNP,Ethmoid,Mucous_glandular,10,934,0.010706638115631691,0.0
GSE235711,GSM7508301_CRSwNP_Eth_3,CRSwNP_3,CRSwNP,Ethmoid,Goblet,2,934,0.0021413276231263384,0.0
GSE235711,GSM7508301_CRSwNP_Eth_3,CRSwNP_3,CRSwNP,Ethmoid,Inflammatory_secretory,178,934,0.1905781584582441,0.0
GSE235711,GSM7508301_CRSwNP_Eth_3,CRSwNP_3,CRSwNP,Ethmoid,Transitional_secretory,189,934,0.20235546038543897,0.0
GSE235711,GSM7508301_CRSwNP_Eth_3,CRSwNP_3,CRSwNP,Ethmoid,Ambiguous_secretory,61,934,0.06531049250535331,0.0
GSE235711,GSM7508302_CRSwNP_Eth_6,CRSwNP_6,CRSwNP,Ethmoid,Surface_club,0,202,0.0,
GSE235711,GSM7508302_CRSwNP_Eth_6,CRSwNP_6,CRSwNP,Ethmoid,Serous_glandular,129,202,0.6386138613861386,0.0
GSE235711,GSM7508302_CRSwNP_Eth_6,CRSwNP_6,CRSwNP,Ethmoid,Mucous_glandular,5,202,0.024752475247524754,3.279279870140517e-05
GSE235711,GSM7508302_CRSwNP_Eth_6,CRSwNP_6,CRSwNP,Ethmoid,Goblet,0,202,0.0,
GSE235711,GSM7508302_CRSwNP_Eth_6,CRSwNP_6,CRSwNP,Ethmoid,Inflammatory_secretory,23,202,0.11386138613861387,0.0
GSE235711,GSM7508302_CRSwNP_Eth_6,CRSwNP_6,CRSwNP,Ethmoid,Transitional_secretory,33,202,0.16336633663366337,0.0
GSE235711,GSM7508302_CRSwNP_Eth_6,CRSwNP_6,CRSwNP,Ethmoid,Ambiguous_secretory,12,202,0.0594059405940594,0.0
GSE235711,GSM7508303_CRSwNP_NP_1,CRSwNP_1,CRSwNP,Nasal_polyp,Surface_club,1,1113,0.0008984725965858042,0.014805675508945095
GSE235711,GSM7508303_CRSwNP_NP_1,CRSwNP_1,CRSwNP,Nasal_polyp,Serous_glandular,216,1113,0.1940700808625337,0.0
GSE235711,GSM7508303_CRSwNP_NP_1,CRSwNP_1,CRSwNP,Nasal_polyp,Mucous_glandular,2,1113,0.0017969451931716084,0.0
GSE235711,GSM7508303_CRSwNP_NP_1,CRSwNP_1,CRSwNP,Nasal_polyp,Goblet,21,1113,0.018867924528301886,2.3430178069353328e-05
GSE235711,GSM7508303_CRSwNP_NP_1,CRSwNP_1,CRSwNP,Nasal_polyp,Inflammatory_secretory,604,1113,0.5426774483378257,0.0
GSE235711,GSM7508303_CRSwNP_NP_1,CRSwNP_1,CRSwNP,Nasal_polyp,Transitional_secretory,212,1113,0.19047619047619047,0.0
GSE235711,GSM7508303_CRSwNP_NP_1,CRSwNP_1,CRSwNP,Nasal_polyp,Ambiguous_secretory,57,1113,0.05121293800539083,0.0
GSE235711,GSM7508304_CRSwNP_NP_2,CRSwNP_2,CRSwNP,Nasal_polyp,Surface_club,1,459,0.002178649237472767,0.0005819028222286878
GSE235711,GSM7508304_CRSwNP_NP_2,CRSwNP_2,CRSwNP,Nasal_polyp,Serous_glandular,378,459,0.8235294117647058,0.00011076960226409128
GSE235711,GSM7508304_CRSwNP_NP_2,CRSwNP_2,CRSwNP,Nasal_polyp,Mucous_glandular,1,459,0.002178649237472767,6.222000995520159e-05
GSE235711,GSM7508304_CRSwNP_NP_2,CRSwNP_2,CRSwNP,Nasal_polyp,Goblet,2,459,0.004357298474945534,0.0006556036556036556
GSE235711,GSM7508304_CRSwNP_NP_2,CRSwNP_2,CRSwNP,Nasal_polyp,Inflammatory_secretory,5,459,0.010893246187363835,0.00022644927536231884
GSE235711,GSM7508304_CRSwNP_NP_2,CRSwNP_2,CRSwNP,Nasal_polyp,Transitional_secretory,52,459,0.11328976034858387,9.855228492631281e-05
GSE235711,GSM7508304_CRSwNP_NP_2,CRSwNP_2,CRSwNP,Nasal_polyp,Ambiguous_secretory,20,459,0.04357298474945534,6.800012220834473e-05
GSE235711,GSM7508305_CRSwNP_NP_3,CRSwNP_3,CRSwNP,Nasal_polyp,Surface_club,2,3671,0.0005448106782892945,0.000427715996578272
GSE235711,GSM7508305_CRSwNP_NP_3,CRSwNP_3,CRSwNP,Nasal_polyp,Serous_glandular,2327,3671,0.6338872241895941,0.0
GSE235711,GSM7508305_CRSwNP_NP_3,CRSwNP_3,CRSwNP,Nasal_polyp,Mucous_glandular,5,3671,0.001362026695723236,0.0
GSE235711,GSM7508305_CRSwNP_NP_3,CRSwNP_3,CRSwNP,Nasal_polyp,Goblet,8,3671,0.002179242713157178,0.0
GSE235711,GSM7508305_CRSwNP_NP_3,CRSwNP_3,CRSwNP,Nasal_polyp,Inflammatory_secretory,409,3671,0.11141378371016072,0.0
GSE235711,GSM7508305_CRSwNP_NP_3,CRSwNP_3,CRSwNP,Nasal_polyp,Transitional_secretory,767,3671,0.20893489512394442,0.0
