network,column,source,activity,dataset,donor,disease,tissue,subtype,n_cells
CollecTRI,CRSwNP_1|CRSwNP|Ethmoid|Serous_glandular,ARNT,-3.8142992627953527,GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Serous_glandular,105
CollecTRI,CRSwNP_2|CRSwNP|Ethmoid|Serous_glandular,ARNT,-0.8429095333530017,GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Serous_glandular,68
CollecTRI,CRSwNP_3|CRSwNP|Ethmoid|Serous_glandular,ARNT,-0.7349575780781259,GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Serous_glandular,490
CollecTRI,CRSwNP_6|CRSwNP|Ethmoid|Serous_glandular,ARNT,-0.1813136747695526,GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Serous_glandular,129
CollecTRI,CRSwNP_1|CRSwNP|Nasal_polyp|Serous_glandular,ARNT,2.7245939188946036,GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Serous_glandular,216
CollecTRI,CRSwNP_2|CRSwNP|Nasal_polyp|Serous_glandular,ARNT,0.829006321331389,GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Serous_glandular,378
CollecTRI,CRSwNP_3|CRSwNP|Nasal_polyp|Serous_glandular,ARNT,1.5653858046835691,GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Serous_glandular,2327
CollecTRI,CRSwNP_4|CRSwNP|Nasal_polyp|Serous_glandular,ARNT,1.4455531385822635,GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Serous_glandular,427
CollecTRI,CRSwNP_5|CRSwNP|Nasal_polyp|Serous_glandular,ARNT,0.7951418812304827,GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Serous_glandular,339
CollecTRI,CRSwNP_6|CRSwNP|Nasal_polyp|Serous_glandular,ARNT,2.2800084598227226,GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Serous_glandular,64
CollecTRI,HC_1|Healthy|Ethmoid|Serous_glandular,ASCL1,-1.8357315545916366,GSE235711,HC_1,Healthy,Ethmoid,Serous_glandular,1847
CollecTRI,HC_2|Healthy|Ethmoid|Serous_glandular,ASCL1,-1.0389326532409575,GSE235711,HC_2,Healthy,Ethmoid,Serous_glandular,792
CollecTRI,HC_3|Healthy|Ethmoid|Serous_glandular,ASCL1,-0.027558510041669947,GSE235711,HC_3,Healthy,Ethmoid,Serous_glandular,680
CollecTRI,HC_4|Healthy|Ethmoid|Serous_glandular,ASCL1,-1.3208417164570245,GSE235711,HC_4,Healthy,Ethmoid,Serous_glandular,816
CollecTRI,HC_5|Healthy|Ethmoid|Serous_glandular,ASCL1,0.6336528033710035,GSE235711,HC_5,Healthy,Ethmoid,Serous_glandular,242
CollecTRI,CRSsNP_1|CRSsNP|Ethmoid|Serous_glandular,ASCL1,-0.7213302280943714,GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Serous_glandular,2785
CollecTRI,CRSsNP_2|CRSsNP|Ethmoid|Serous_glandular,ASCL1,-1.831149994838867,GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Serous_glandular,596
CollecTRI,CRSsNP_3|CRSsNP|Ethmoid|Serous_glandular,ASCL1,0.7161968992126987,GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Serous_glandular,875
CollecTRI,CRSsNP_4|CRSsNP|Ethmoid|Serous_glandular,ASCL1,1.301623960221534,GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Serous_glandular,1945
CollecTRI,CRSsNP_5|CRSsNP|Ethmoid|Serous_glandular,ASCL1,-2.189241348051821,GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Serous_glandular,53
CollecTRI,CRSwNP_1|CRSwNP|Ethmoid|Serous_glandular,ASCL1,-4.382030527623191,GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Serous_glandular,105
CollecTRI,CRSwNP_2|CRSwNP|Ethmoid|Serous_glandular,ASCL1,-0.44019719255522377,GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Serous_glandular,68
CollecTRI,CRSwNP_3|CRSwNP|Ethmoid|Serous_glandular,ASCL1,1.962095243865825,GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Serous_glandular,490
CollecTRI,CRSwNP_6|CRSwNP|Ethmoid|Serous_glandular,ASCL1,-0.9555746433868922,GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Serous_glandular,129
CollecTRI,CRSwNP_1|CRSwNP|Nasal_polyp|Serous_glandular,ASCL1,1.283768673312168,GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Serous_glandular,216
CollecTRI,CRSwNP_2|CRSwNP|Nasal_polyp|Serous_glandular,ASCL1,1.765421110350439,GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Serous_glandular,378
CollecTRI,CRSwNP_3|CRSwNP|Nasal_polyp|Serous_glandular,ASCL1,3.031515091562992,GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Serous_glandular,2327
CollecTRI,CRSwNP_4|CRSwNP|Nasal_polyp|Serous_glandular,ASCL1,2.748375340267704,GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Serous_glandular,427
CollecTRI,CRSwNP_5|CRSwNP|Nasal_polyp|Serous_glandular,ASCL1,0.12363876570680309,GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Serous_glandular,339
CollecTRI,CRSwNP_6|CRSwNP|Nasal_polyp|Serous_glandular,ASCL1,1.176300481010481,GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Serous_glandular,64
CollecTRI,HC_1|Healthy|Ethmoid|Serous_glandular,ATF1,-3.0240012361070447,GSE235711,HC_1,Healthy,Ethmoid,Serous_glandular,1847
CollecTRI,HC_2|Healthy|Ethmoid|Serous_glandular,ATF1,-2.6819483596505713,GSE235711,HC_2,Healthy,Ethmoid,Serous_glandular,792
CollecTRI,HC_3|Healthy|Ethmoid|Serous_glandular,ATF1,-1.0640085218177053,GSE235711,HC_3,Healthy,Ethmoid,Serous_glandular,680
CollecTRI,HC_4|Healthy|Ethmoid|Serous_glandular,ATF1,-3.8740571828806147,GSE235711,HC_4,Healthy,Ethmoid,Serous_glandular,816
CollecTRI,HC_5|Healthy|Ethmoid|Serous_glandular,ATF1,0.2242415137464305,GSE235711,HC_5,Healthy,Ethmoid,Serous_glandular,242
CollecTRI,CRSsNP_1|CRSsNP|Ethmoid|Serous_glandular,ATF1,-1.3259533535824262,GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Serous_glandular,2785
CollecTRI,CRSsNP_2|CRSsNP|Ethmoid|Serous_glandular,ATF1,-1.3719016233414234,GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Serous_glandular,596
CollecTRI,CRSsNP_3|CRSsNP|Ethmoid|Serous_glandular,ATF1,0.8727290957679555,GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Serous_glandular,875
CollecTRI,CRSsNP_4|CRSsNP|Ethmoid|Serous_glandular,ATF1,2.8189402137081534,GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Serous_glandular,1945
CollecTRI,CRSsNP_5|CRSsNP|Ethmoid|Serous_glandular,ATF1,-0.01570945344637135,GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Serous_glandular,53
CollecTRI,CRSwNP_1|CRSwNP|Ethmoid|Serous_glandular,ATF1,-5.763144579432256,GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Serous_glandular,105
CollecTRI,CRSwNP_2|CRSwNP|Ethmoid|Serous_glandular,ATF1,0.034809477626524796,GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Serous_glandular,68
CollecTRI,CRSwNP_3|CRSwNP|Ethmoid|Serous_glandular,ATF1,0.884277626782016,GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Serous_glandular,490
CollecTRI,CRSwNP_6|CRSwNP|Ethmoid|Serous_glandular,ATF1,-1.6373935630696284,GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Serous_glandular,129
CollecTRI,CRSwNP_1|CRSwNP|Nasal_polyp|Serous_glandular,ATF1,3.706998180474389,GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Serous_glandular,216
CollecTRI,CRSwNP_2|CRSwNP|Nasal_polyp|Serous_glandular,ATF1,1.3445513471364834,GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Serous_glandular,378
CollecTRI,CRSwNP_3|CRSwNP|Nasal_polyp|Serous_glandular,ATF1,2.421714601141866,GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Serous_glandular,2327
CollecTRI,CRSwNP_4|CRSwNP|Nasal_polyp|Serous_glandular,ATF1,2.012779545327244,GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Serous_glandular,427
CollecTRI,CRSwNP_5|CRSwNP|Nasal_polyp|Serous_glandular,ATF1,3.046981371334241,GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Serous_glandular,339
CollecTRI,CRSwNP_6|CRSwNP|Nasal_polyp|Serous_glandular,ATF1,3.3900949002826803,GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Serous_glandular,64
CollecTRI,HC_1|Healthy|Ethmoid|Serous_glandular,ATF2,-3.139734827998639,GSE235711,HC_1,Healthy,Ethmoid,Serous_glandular,1847
CollecTRI,HC_2|Healthy|Ethmoid|Serous_glandular,ATF2,-4.034248291042,GSE235711,HC_2,Healthy,Ethmoid,Serous_glandular,792
CollecTRI,HC_3|Healthy|Ethmoid|Serous_glandular,ATF2,-0.8118927715768212,GSE235711,HC_3,Healthy,Ethmoid,Serous_glandular,680
CollecTRI,HC_4|Healthy|Ethmoid|Serous_glandular,ATF2,-3.259127756024377,GSE235711,HC_4,Healthy,Ethmoid,Serous_glandular,816
CollecTRI,HC_5|Healthy|Ethmoid|Serous_glandular,ATF2,-0.02904077643680614,GSE235711,HC_5,Healthy,Ethmoid,Serous_glandular,242
CollecTRI,CRSsNP_1|CRSsNP|Ethmoid|Serous_glandular,ATF2,-1.6332413996235646,GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Serous_glandular,2785
CollecTRI,CRSsNP_2|CRSsNP|Ethmoid|Serous_glandular,ATF2,-0.8022098945026636,GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Serous_glandular,596
CollecTRI,CRSsNP_3|CRSsNP|Ethmoid|Serous_glandular,ATF2,0.38248360365898315,GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Serous_glandular,875
