network,column,source,activity,dataset,donor,disease,tissue,subtype,n_cells
PROGENy,CRSwNP_2|CRSwNP|Nasal_polyp|Serous_glandular,MAPK,1.632178078643849,GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Serous_glandular,378
PROGENy,CRSwNP_3|CRSwNP|Nasal_polyp|Serous_glandular,MAPK,2.0615548059857383,GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Serous_glandular,2327
PROGENy,CRSwNP_4|CRSwNP|Nasal_polyp|Serous_glandular,MAPK,4.293817179864918,GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Serous_glandular,427
PROGENy,CRSwNP_5|CRSwNP|Nasal_polyp|Serous_glandular,MAPK,-0.9563573789907442,GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Serous_glandular,339
PROGENy,CRSwNP_6|CRSwNP|Nasal_polyp|Serous_glandular,MAPK,5.061989457825369,GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Serous_glandular,64
PROGENy,HC_1|Healthy|Ethmoid|Serous_glandular,NFkB,-5.631371212707331,GSE235711,HC_1,Healthy,Ethmoid,Serous_glandular,1847
PROGENy,HC_2|Healthy|Ethmoid|Serous_glandular,NFkB,-9.762695300783836,GSE235711,HC_2,Healthy,Ethmoid,Serous_glandular,792
PROGENy,HC_3|Healthy|Ethmoid|Serous_glandular,NFkB,-4.17857451488671,GSE235711,HC_3,Healthy,Ethmoid,Serous_glandular,680
PROGENy,HC_4|Healthy|Ethmoid|Serous_glandular,NFkB,-4.862886188120935,GSE235711,HC_4,Healthy,Ethmoid,Serous_glandular,816
PROGENy,HC_5|Healthy|Ethmoid|Serous_glandular,NFkB,-0.022359554013422347,GSE235711,HC_5,Healthy,Ethmoid,Serous_glandular,242
PROGENy,CRSsNP_1|CRSsNP|Ethmoid|Serous_glandular,NFkB,-6.369701677531709,GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Serous_glandular,2785
PROGENy,CRSsNP_2|CRSsNP|Ethmoid|Serous_glandular,NFkB,-8.5428754203321,GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Serous_glandular,596
PROGENy,CRSsNP_3|CRSsNP|Ethmoid|Serous_glandular,NFkB,9.146211723896814,GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Serous_glandular,875
PROGENy,CRSsNP_4|CRSsNP|Ethmoid|Serous_glandular,NFkB,6.871422382229275,GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Serous_glandular,1945
PROGENy,CRSsNP_5|CRSsNP|Ethmoid|Serous_glandular,NFkB,6.077183979767841,GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Serous_glandular,53
PROGENy,CRSwNP_1|CRSwNP|Ethmoid|Serous_glandular,NFkB,-3.5899757034737796,GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Serous_glandular,105
PROGENy,CRSwNP_2|CRSwNP|Ethmoid|Serous_glandular,NFkB,-3.8999505148105382,GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Serous_glandular,68
PROGENy,CRSwNP_3|CRSwNP|Ethmoid|Serous_glandular,NFkB,1.9976899673465696,GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Serous_glandular,490
PROGENy,CRSwNP_6|CRSwNP|Ethmoid|Serous_glandular,NFkB,0.9196353332223685,GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Serous_glandular,129
PROGENy,CRSwNP_1|CRSwNP|Nasal_polyp|Serous_glandular,NFkB,3.87809475349285,GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Serous_glandular,216
PROGENy,CRSwNP_2|CRSwNP|Nasal_polyp|Serous_glandular,NFkB,2.22806931745166,GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Serous_glandular,378
PROGENy,CRSwNP_3|CRSwNP|Nasal_polyp|Serous_glandular,NFkB,2.9932310717839203,GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Serous_glandular,2327
PROGENy,CRSwNP_4|CRSwNP|Nasal_polyp|Serous_glandular,NFkB,11.471287911972212,GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Serous_glandular,427
PROGENy,CRSwNP_5|CRSwNP|Nasal_polyp|Serous_glandular,NFkB,0.6388244775049042,GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Serous_glandular,339
PROGENy,CRSwNP_6|CRSwNP|Nasal_polyp|Serous_glandular,NFkB,0.6387391679919051,GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Serous_glandular,64
PROGENy,HC_1|Healthy|Ethmoid|Serous_glandular,PI3K,-0.24451147485183458,GSE235711,HC_1,Healthy,Ethmoid,Serous_glandular,1847
PROGENy,HC_2|Healthy|Ethmoid|Serous_glandular,PI3K,-3.9174299122290543,GSE235711,HC_2,Healthy,Ethmoid,Serous_glandular,792
PROGENy,HC_3|Healthy|Ethmoid|Serous_glandular,PI3K,-4.469571809270807,GSE235711,HC_3,Healthy,Ethmoid,Serous_glandular,680
PROGENy,HC_4|Healthy|Ethmoid|Serous_glandular,PI3K,0.4611437440267045,GSE235711,HC_4,Healthy,Ethmoid,Serous_glandular,816
PROGENy,HC_5|Healthy|Ethmoid|Serous_glandular,PI3K,-3.6182884242570195,GSE235711,HC_5,Healthy,Ethmoid,Serous_glandular,242
PROGENy,CRSsNP_1|CRSsNP|Ethmoid|Serous_glandular,PI3K,-1.1963552851788386,GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Serous_glandular,2785
PROGENy,CRSsNP_2|CRSsNP|Ethmoid|Serous_glandular,PI3K,-4.9491803444790765,GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Serous_glandular,596
PROGENy,CRSsNP_3|CRSsNP|Ethmoid|Serous_glandular,PI3K,0.32019743429884034,GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Serous_glandular,875
PROGENy,CRSsNP_4|CRSsNP|Ethmoid|Serous_glandular,PI3K,-3.7661806080786384,GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Serous_glandular,1945
PROGENy,CRSsNP_5|CRSsNP|Ethmoid|Serous_glandular,PI3K,-0.05524735213812223,GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Serous_glandular,53
PROGENy,CRSwNP_1|CRSwNP|Ethmoid|Serous_glandular,PI3K,16.31818231247689,GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Serous_glandular,105
PROGENy,CRSwNP_2|CRSwNP|Ethmoid|Serous_glandular,PI3K,1.5760216579880373,GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Serous_glandular,68
PROGENy,CRSwNP_3|CRSwNP|Ethmoid|Serous_glandular,PI3K,4.13110448103263,GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Serous_glandular,490
PROGENy,CRSwNP_6|CRSwNP|Ethmoid|Serous_glandular,PI3K,1.3407752866813971,GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Serous_glandular,129
PROGENy,CRSwNP_1|CRSwNP|Nasal_polyp|Serous_glandular,PI3K,1.1385654017943228,GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Serous_glandular,216
