paired_top_ranked_percentage,external_top_ranked_percentage,direction,overlap_p_value,minus_log10_p,p_value_underflow
10.1197798640337,11.5441890579476,Concordant decreases,1.1111009643933947e-87,86.9542464754546,False
10.1197798640337,12.9685982518614,Concordant decreases,8.977366424619971e-90,89.0468510480768,False
10.1197798640337,14.3930074457753,Concordant decreases,2.678133988917649e-86,85.5721676987236,False
10.1197798640337,15.8174166396892,Concordant decreases,9.461069813355784e-88,87.0240597528405,False
10.1197798640337,17.2418258336031,Concordant decreases,6.327641963016545e-86,85.1987581025011,False
10.1197798640337,18.666235027517,Concordant decreases,1.2010553131860826e-89,88.9204369912163,False
10.1197798640337,20.0906442214309,Concordant decreases,1.5449460075485112e-88,87.8110866936071,False
10.1197798640337,21.5150534153448,Concordant decreases,7.57906804201404e-84,83.1203841939846,False
10.1197798640337,22.9394626092587,Concordant decreases,8.194575068169327e-87,86.0864735619634,False
10.1197798640337,24.3638718031725,Concordant decreases,1.596891904172185e-89,88.7967244808624,False
10.1197798640337,25.7882809970864,Concordant decreases,9.445495106495012e-85,84.0247752726407,False
10.1197798640337,27.2126901910003,Concordant decreases,8.315679608332466e-89,88.0801022517857,False
10.1197798640337,28.6370993849142,Concordant decreases,6.9353281412239955e-87,86.1589329857008,False
10.1197798640337,30.0615085788281,Concordant decreases,8.152717444532351e-84,83.088697609118,False
10.1197798640337,31.485917772742,Concordant decreases,1.4815545790850098e-80,79.8292823448867,False
10.1197798640337,32.9103269666559,Concordant decreases,1.9915913293906408e-78,77.7007997731407,False
10.1197798640337,34.3347361605698,Concordant decreases,2.307010781013865e-77,76.6369503759497,False
10.1197798640337,35.7591453544836,Concordant decreases,4.4076475168854754e-79,78.3557931436464,False
10.1197798640337,37.1835545483975,Concordant decreases,7.73595694110817e-75,74.1114859562326,False
10.1197798640337,38.6079637423114,Concordant decreases,1.10548169567303e-71,70.9564484439799,False
10.1197798640337,40.0323729362253,Concordant decreases,3.3297889377798345e-71,70.4775832938398,False
10.1197798640337,41.4567821301392,Concordant decreases,2.3065308186612446e-68,67.6370407382007,False
10.1197798640337,42.8811913240531,Concordant decreases,2.7746621993954916e-65,64.5567898824038,False
10.1197798640337,44.305600517967,Concordant decreases,2.390176034059125e-64,63.6215701125225,False
10.1197798640337,45.7300097118809,Concordant decreases,6.434618541688112e-64,63.1914771939267,False
10.1197798640337,47.1544189057948,Concordant decreases,1.3240226541799349e-61,60.8781045840042,False
10.1197798640337,48.5788280997086,Concordant decreases,8.413044506712165e-60,59.0750468135724,False
