library,direction,term,overlap,query_size,term_size,p,genes,fdr
Reactome_2024,up,Peroxisomal Protein Import,8,2300,58,0.649165999519471,ACOT4;ACOT8;EHHADH;MLYCD;NUDT19;NUDT7;PEX1;PEX6,0.9999999999999972
Reactome_2024,up,RAC1 GTPase Cycle,24,2300,171,0.6567515378674704,ABR;ARAP1;ARHGAP39;ARHGAP4;ARHGEF6;BAIAP2;BRK1;CIT;CYBB;DOCK6;DOCK8;ECT2;GMIP;NCF1;NCF2;NCF4;NCKAP1L;PAK4;PAK6;PLEKHG1;RACGAP1;SRGAP2;SRGAP3;VANGL1,0.9999999999999972
Reactome_2024,up,PIWI-interacting RNA (piRNA) Biogenesis,3,2300,22,0.6568322113203663,HENMT1;POLR2H;POLR2I,0.9999999999999972
Reactome_2024,up,RAS Processing,3,2300,22,0.6568322113203663,ABHD17C;BCL2L1;ICMT,0.9999999999999972
Reactome_2024,up,Regulation of Signaling by CBL,3,2300,22,0.6568322113203663,BLNK;HCK;SYK,0.9999999999999972
Reactome_2024,up,Respiratory Syncytial Virus (RSV) Attachment and Entry,3,2300,22,0.6568322113203663,GPC3;GPC4;SDC1,0.9999999999999972
Reactome_2024,up,Negative Regulation of NOTCH4 Signaling,6,2300,44,0.6569560322688355,PSMA4;PSMA5;PSMB5;RBX1;SEM1;TACC3,0.9999999999999972
Reactome_2024,up,Diseases of Mitotic Cell Cycle,5,2300,37,0.6633372560478208,ANAPC10;CDC16;CDC26;E2F1;UBE2C,0.9999999999999972
Reactome_2024,up,Formation of the Cornified Envelope,5,2300,37,0.6633372560478208,CAPNS1;CSTA;EVPL;KAZN;TGM1,0.9999999999999972
Reactome_2024,up,Cellular Response to Hypoxia,8,2300,59,0.668705918336738,EGLN2;EGLN3;HIF1AN;PSMA4;PSMA5;PSMB5;RBX1;SEM1,0.9999999999999972
Reactome_2024,up,Muscle Contraction,15,2300,109,0.6709146354897655,ATP2B4;FGF11;FXYD1;ITPR3;KCNE1;KCNE3;KCNJ12;MYL6;ORAI2;PXN;RANGRF;SRI;TNNC1;TNNC2;TNNI2,0.9999999999999972
Reactome_2024,up,Activation of the Pre-Replicative Complex,4,2300,30,0.6726750462076647,CDT1;MCM2;PRIM2;RPA3,0.9999999999999972
Reactome_2024,up,Diseases Associated With Glycosaminoglycan Metabolism,4,2300,30,0.6726750462076647,B3GALT6;GPC3;GPC4;SDC1,0.9999999999999972
Reactome_2024,up,Signaling by NOTCH2,4,2300,30,0.6726750462076647,NEURL1;NEURL1B;PSEN2;PSENEN,0.9999999999999972
Reactome_2024,up,Oxygen-dependent Proline Hydroxylation of Hypoxia-inducible Factor Alpha,7,2300,52,0.6731114365757881,EGLN2;EGLN3;PSMA4;PSMA5;PSMB5;RBX1;SEM1,0.9999999999999972
Reactome_2024,up,Regulation of TP53 Activity Through Phosphorylation,12,2300,88,0.6751269657661447,BRCA1;CCNA2;CDK5;MAPK14;NUAK1;PIN1;RFC5;RMI1;RMI2;RPA3;TAF6;TP53INP1,0.9999999999999972
Reactome_2024,up,MITF-M-dependent Gene Expression,11,2300,81,0.6772800574918987,AGO4;ARID1A;ATP6V1E1;ATP6V1F;ATP6V1H;BCL7A;CCNB1;LIG1;MAPK14;PLK1;SYTL2,0.9999999999999972
Reactome_2024,up,Diseases Associated With O-glycosylation of Proteins,6,2300,45,0.6789818016723871,DAG1;GALNT12;LARGE1;MUC12;MUC16;MUC4,0.9999999999999972
Reactome_2024,up,HIV Transcription Initiation,6,2300,45,0.6789818016723871,ERCC3;GTF2E2;GTF2H5;POLR2H;POLR2I;TAF6,0.9999999999999972
