dataset,donor,disease,tissue,subtype,n_cells,n_secretory_candidates,median_ig_fraction,n_classified_secretory,proportion_of_candidates,proportion_of_classified,proportion,classification_coverage,logit_candidate_fraction
GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Transitional_secretory,33,202,0.0,202,0.1633663366336633,0.1633663366336633,0.1633663366336633,1.0,-1.6213074879894842
GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Ambiguous_secretory,21,354,0.0,354,0.059322033898305,0.059322033898305,0.059322033898305,1.0,-2.741589930222061
GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Goblet,3,354,0.0001026167265264,354,0.0084745762711864,0.0084745762711864,0.0084745762711864,1.0,-4.609446742755352
GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Inflammatory_secretory,211,354,2.939188196220204e-05,354,0.596045197740113,0.596045197740113,0.596045197740113,1.0,0.3878899632866568
GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Mucous_glandular,0,354,,354,0.0,0.0,0.0,1.0,-6.5638555265321274
GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Serous_glandular,64,354,2.354457766378381e-05,354,0.1807909604519774,0.1807909604519774,0.1807909604519774,1.0,-1.504938352490239
GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Surface_club,2,354,0.0002540796173302,354,0.0056497175141242,0.0056497175141242,0.0056497175141242,1.0,-4.948759890378168
GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Transitional_secretory,53,354,0.0,354,0.1497175141242938,0.1497175141242938,0.1497175141242938,1.0,-1.7290883622652793
GSE235711,HC_1,Healthy,Ethmoid,Ambiguous_secretory,137,2442,0.0,2442,0.0561015561015561,0.0561015561015561,0.0561015561015561,1.0,-2.8194289345401344
GSE235711,HC_1,Healthy,Ethmoid,Goblet,5,2442,0.0,2442,0.002047502047502,0.002047502047502,0.002047502047502,1.0,-6.093980110633577
GSE235711,HC_1,Healthy,Ethmoid,Inflammatory_secretory,32,2442,0.0,2442,0.0131040131040131,0.0131040131040131,0.0131040131040131,1.0,-4.306349384509986
