source,target,cor_discovery,cor_validation,consensus_weight
TTYH1,PTH2R,0.6593283583267283,0.5950061754626368,0.6263421148717733
TCN1,SERP1,0.597039007851776,0.6570367506478181,0.6263198621542575
SLC25A48,P4HB,0.5885444441365394,0.6664131450554235,0.6262697134796854
ADGRG2,AGFG2,0.6653546637366662,0.5894285647909006,0.6262420015642798
RTN1,C6orf58,0.6232823263763476,0.6291381578140671,0.6262033971598058
SAP30BP,LIMCH1,0.5746878729802484,0.6821980930851829,0.6261397376515128
KIAA1324,ARHGEF37,0.6470711781019566,0.6056814860745613,0.6260343702615777
CHRM3,ATP2A3,0.7125864177108168,0.5499095676680981,0.6259856938377378
SLC37A2,GP2,0.5683610300142181,0.689441470106356,0.6259805620657604
CA2,FBP1,0.6791603058144338,0.5768655005937537,0.6259266329187873
SLC13A2,ALDH18A1,0.6930819341443613,0.5652736690629289,0.6259240911444568
SLC13A2,BPIFB2,0.7558306452451332,0.518332816313311,0.6259167892026998
ZG16B,CES3,0.6139820002235322,0.6380802463941323,0.6259151587748883
ADGRG2,ATP6V0E2,0.6743163231190774,0.58086154861896,0.6258469650849082
GALNT6,CBS,0.6209113410396483,0.6307246685092477,0.6257987693746805
NDRG2,ACSL1,0.7185131376143922,0.5450195457118334,0.6257824732689308
PYCR1,RASAL1,0.636010764673761,0.6156050074539516,0.6257247090596504
F5,LRP6,0.614197869055503,0.637388857185397,0.6256859258789453
ELF5,PRSS8,0.6635726927046675,0.5899161170197679,0.6256614309997773
SMAD9,C2orf88,0.7341921838614462,0.5331476934645565,0.6256459616951392
F5,SAP30BP,0.605711305838874,0.6459041634630112,0.625484975277541
SLC22A3,F5,0.713164229243763,0.5482891547139342,0.6253160900091067
GRIA2,FOLH1,0.7039609291146212,0.5554539524742566,0.6253142253812608
DMBT1,FOLR1,0.6880782979380851,0.5682276441713568,0.6252880218289769
DLX6-AS1,LRP6,0.6738070524697455,0.5802448623199603,0.6252784023061454
OXR1,SERP1,0.7755508017635677,0.5040740489670312,0.6252479770655711
SLC12A2,CRISP3,0.7501615310101081,0.5211083768732607,0.6252323230747413
LIMCH1,OXR1,0.6119425178884691,0.638604447602317,0.6251313570766842
SLC13A2,CADM1,0.7642616553638065,0.5112840906442717,0.6251038517534263
PPP1R1B,NPY5R,0.6121026146147762,0.6383690512461208,0.6250978846204045
CCL28,OXGR1,0.6837955712445927,0.5714385831109262,0.625097730254667
ADGRG6,CHRM1,0.6933526908769646,0.5635295604398575,0.6250797846032843
CCL28,DLK1,0.661789279161615,0.590321519633322,0.6250347613946966
TUSC8,SLC25A48,0.6719003781049653,0.5813979542197577,0.6250132040762887
CCDC129,CRISP2,0.6229888324916539,0.6270155251232109,0.6249989359596146
DLX6-AS1,TRIL,0.6055593154105718,0.6450122552960548,0.6249745432803707
SEC63,PRSS8,0.6061038505755858,0.6444086650441496,0.6249628574783721
ADGRG6,C2orf88,0.5927619548770481,0.6588108383192226,0.624914394470386
ATP6V0E2,OXGR1,0.577195783080271,0.6765335221048032,0.6248938278390463
TCN1,C2orf88,0.6101178138179387,0.639968306989722,0.6248648368834149
MPO,KIRREL3,0.5696461034396504,0.685373253420913,0.6248361410905896
AACS,ITGA6,0.6317024350411908,0.6180287917181122,0.6248282105138151
DYNC1I1,ELF5,0.5711432817590568,0.6832964870736876,0.6247080902643257
MUC7,ID4,0.6042366762609142,0.6458133330990173,0.6246791991708487
TMPRSS5,CRISP3,0.615205854042814,0.6341558040584341,0.6246089681008241
SEC63,ITGA6,0.5546576049383146,0.7033758679186795,0.6246060952882089
GPAT2,TBC1D24,0.6350752326470889,0.6142523738831609,0.6245770322769442
CADM1,EPHA7,0.656409856758047,0.5942453041430021,0.6245546212875621
PPP1R1B,PKDCC,0.5946975460119884,0.6559064576043334,0.6245526084732281
LTF,SNPH,0.6526966469399818,0.5975960112465838,0.6245389601660996
MANSC1,CBS,0.610104556369101,0.6393083921075269,0.6245357979730273
CHRM1,ZG16B,0.8241955865647883,0.4732163343446579,0.6245180655971725
ATP6V0E2,CBS,0.6280130114090232,0.620853729774974,0.6244231101428785
KIAA1324,EPHA7,0.6625179428195237,0.588509925747706,0.6244184376964222
TUSC8,PLA2R1,0.6364999567693006,0.6121801186535526,0.6242216105342809
ODAM,ATP2A3,0.6184873245347444,0.6299803859757127,0.6242074041786786
CHRM1,CRISP3,0.7949803053346901,0.4901060070995173,0.6241991854931725
AZGP1,CBS,0.6268698963557486,0.6215303415723843,0.6241944094618548
RTN1,MGAM2,0.7647461227607927,0.5092779945204216,0.624074011409612
TNFSF13,SLC31A2,0.6128026367010936,0.6355492876374436,0.6240723349241875
FDCSP,C2orf88,0.608066820750065,0.640471308588452,0.6240587731896843
MCFD2,OXR1,0.7240410744857264,0.5378769288951796,0.6240552776303943
MPO,ACSL1,0.666491531876042,0.584318033868461,0.6240537008109058
PLCB1,ADGRG2,0.5904384027339212,0.6595815042905815,0.6240530825708402
